id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,replies_count,retweets_count,likes_count,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,retweet_date,translate,trans_src,trans_dest,urls/0,hashtags/0,hashtags/1,hashtags/2,hashtags/3,reply_to/0/screen_name,reply_to/0/name,reply_to/0/id,reply_to/1/screen_name,reply_to/1/name,reply_to/1/id,mentions/0/screen_name,mentions/0/name,mentions/0/id,photos/0,reply_to/2/screen_name,reply_to/2/name,reply_to/2/id,photos/1,hashtags/4,hashtags/5,hashtags/6,hashtags/7,hashtags/8,hashtags/9,hashtags/10,hashtags/11,hashtags/12,hashtags/13,hashtags/14
1321019120104607700,1321019120104607745,2020-10-27 16:21:16 SE Asia Standard Time,2020-10-27,16:21:16,+0700,796363724663574500,joanforarc,Alexa,,"Asli deh, salut sm pemerintah. Korea yang penanganan C-word sampai bs menekan angka kasus perhari aja buka bioskop masih takut-takut dan kalo ada kasus diatas 150 per-hari langsung nerapin PSBB total, ini negara kita bondo nekat juga ya. All it takes is bravery, kayanya.",in,1,0,1,https://twitter.com/joanforarc/status/1321019120104607745,false,https://twitter.com/satgascovid19id/status/1321005011812270080,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1320996964859736000,1320996964859736066,2020-10-27 14:53:14 SE Asia Standard Time,2020-10-27,14:53:14,+0700,116157378,cerehc,arif alfanto,,Klo klasternya ga berkurang bakal di psbb total 😓,in,0,0,0,https://twitter.com/cerehc/status/1320996964859736066,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1320993068376596500,1320993068376596480,2020-10-27 14:37:45 SE Asia Standard Time,2020-10-27,14:37:45,+0700,703568824394600400,dkl_jakarta,DKI Jakarta,,#Total Pelanggar Operasi Yustisi PSBB Transisi di Jakarta Tembus 8 Ribu Orang - Wartakota  https://t.co/uBxYrQzHk3 #jakarta #dkijakarta #Total Pelanggar Operasi Yustisi PSBB Transisi di Jakarta Tembus 8 Ribu Orang  Wartakota,in,0,0,0,https://twitter.com/DKl_Jakarta/status/1320993068376596480,false,,0,,,,,,,,,,,,https://wartakota.tribunnews.com/2020/10/27/total-pelanggar-operasi-yustisi-psbb-transisi-di-jakarta-tembus-8-ribu-orang,total,jakarta,dkijakarta,total,,,,,,,,,,,,,,,,,,,,,,,,,
1320776790399275000,1320776790399275008,2020-10-27 00:18:20 SE Asia Standard Time,2020-10-27,00:18:20,+0700,1090221067426132000,royyndagtajh,M Z K R Y,,Pas baru bgt ada psbb. Dan itu total. Akses keluar kota susahnya minta ampun. Aku sempet kepikiran. Kalo kaya ginj selamanya gimana ya. Sampe pada akhirnya psbb mulai redup. Akses keluar kota mulai dimudahkan. Dari rapid tes. Surat kesehatan. Sampai tidak pakai apa apa.,in,1,0,0,https://twitter.com/royyndagtajh/status/1320776790399275008,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1320556947242807300,1320556947242807296,2020-10-26 09:44:45 SE Asia Standard Time,2020-10-26,09:44:45,+0700,45547228,marulitas,Maria,,Bener. Abis PSBB total pertama kemarin terus naik ke lantai 41 langsung mual dan budeg 🤮😵,in,0,0,0,https://twitter.com/marulitas/status/1320556947242807296,false,https://twitter.com/hrdbacot/status/1320548955285901312,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1320528662991523800,1320326828163170304,2020-10-26 07:52:22 SE Asia Standard Time,2020-10-26,07:52:22,+0700,1243059846271750100,__goldenangel_,Belissimo,,@EllyKoro @seruanhl Setelah proyek demo kelar lanjut psbb total again,in,1,0,1,https://twitter.com/__GoldenAngel_/status/1320528662991523842,false,,0,,,,,,,,,,,,,,,,,EllyKoro,Om Elly.,1286012978349785088,seruanhl,SERUAN H7,1174287141909590017,,,,,,,,,,,,,,,,,,,
1320527022267920400,1320513491548209152,2020-10-26 07:45:50 SE Asia Standard Time,2020-10-26,07:45:50,+0700,240728057,q2ferdinand,qoetoe,,@Elina_Vay @detikcom Masih ada jadwal demo kan ? Masih lah diperpanjang.. Kalo udah gak ada yg demo atau ada yg mau demo balaikota besar besaran noh baru di PSBB total lagi.,in,0,0,0,https://twitter.com/Q2ferdinand/status/1320527022267920384,false,,0,,,,,,,,,,,,,,,,,Elina_Vay,#GustiOraSare,3253266487,detikcom,detikcom,69183155,,,,,,,,,,,,,,,,,,,
1320387677351411700,1320387677351411712,2020-10-25 22:32:08 SE Asia Standard Time,2020-10-25,22:32:08,+0700,2185153928,milospesial,Milo,,Gak guna @aniesbaswedan mau lu PSBB transisi apa total kek selama lu ijinin demo mah.   https://t.co/FajUSNl8PU,in,1,0,0,https://twitter.com/MiloSpesial/status/1320387677351411712,false,,0,,,,,,,,,,,,https://m.kumparan.com/amp/kumparannews/anies-perpanjang-psbb-transisi-hingga-8-november-1uSVva3BXMf?utm_source=babeapp&utm_medium=Aggregator&__twitter_impression=true&s=09,,,,,,,,,,,aniesbaswedan,anies baswedan | sudah #vaksindulu,110312278,,,,,,,,,,,,,,,,
1320379098791698400,1320379098791698432,2020-10-25 21:58:03 SE Asia Standard Time,2020-10-25,21:58:03,+0700,1266692250861363200,must_ally09,🏹Must Ally🏹,,"Demo UU Ciptaker kan sampai 28 Oktbr, sesudah 9 September PSBB TOTAL lagi.   https://t.co/lnroKpKgVq",in,0,0,0,https://twitter.com/must_Ally09/status/1320379098791698432,false,,0,,,,,,,,,,,,https://m.kumparan.com/amp/kumparannews/anies-perpanjang-psbb-transisi-hingga-8-november-1uSVva3BXMf?utm_source=babeapp&utm_medium=Aggregator&__twitter_impression=true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1320338586160361500,1320338586160361477,2020-10-25 19:17:04 SE Asia Standard Time,2020-10-25,19:17:04,+0700,71436318,kompastv,KOMPAS TV,,"Total Denda Pelanggar PSBB di Jakarta Capai 4,9 Miliar, Penyumbang Terbesar Tak Pakai Masker  https://t.co/5SZLcE2TEH  https://t.co/H2nocGsvuV",in,0,2,16,https://twitter.com/KompasTV/status/1320338586160361477,false,,1,https://pbs.twimg.com/media/ElLI8n4VcAAa5Ug.jpg,,,,,,,,,,,http://dlvr.it/RkJBRv,,,,,,,,,,,,,,https://pbs.twimg.com/media/ElLI8n4VcAAa5Ug.jpg,,,,,,,,,,,,,,,
